100;% of failure; FIREFOX;52.0;WINDOWS_XP;COMPUTER;WINDOWS;MICROSOFT;Windows XP; 1/1
14;% of failure; EDGE;18.18362;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 1/7
33;% of failure; FIREFOX7;75.0;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 9/27
20;% of failure; EDGE;18.18363;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 4/20
50;% of failure; CHROME8;80.0.3987.149;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 1/2
47;% of failure; EDGE;18.19041;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 9/19
66;% of failure; CHROME8;81.0.4044.122;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 4/6
50;% of failure; CHROME8;80.0.3987.163;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 3/6
50;% of failure; FIREFOX7;75.0;WINDOWS_81;COMPUTER;WINDOWS;MICROSOFT;Windows 8.1; 1/2
100;% of failure; CHROME8;80.0.3987.122;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 1/1
25;% of failure; CHROME8;81.0.4044.94;CHROME_OS;COMPUTER;CHROME_OS;GOOGLE;Chrome OS; 1/4
25;% of failure; CHROME8;80.0.3987.162;CHROME_OS;COMPUTER;CHROME_OS;GOOGLE;Chrome OS; 1/4
50;% of failure; MOBILE_SAFARI;12.1.2;MAC_OS_X_IPAD;TABLET;IOS;APPLE;Mac OS X (iPad); 1/2
100;% of failure; CHROME8;83.0.4103.15;CHROME_OS;COMPUTER;CHROME_OS;GOOGLE;Chrome OS; 1/1
100;% of failure; CHROME;69.0.3497.120;CHROME_OS;COMPUTER;CHROME_OS;GOOGLE;Chrome OS; 1/1
100;% of failure; MOBILE_SAFARI;13.0.5;MAC_OS_X_IPAD;TABLET;IOS;APPLE;Mac OS X (iPad); 2/2
87;% of failure; MOBILE_SAFARI;13.1;MAC_OS_X_IPHONE;MOBILE;IOS;APPLE;Mac OS X (iPhone); 7/8
7;% of failure; CHROME_MOBILE;80.0.3987.99;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 1/14
100;% of failure; CHROME_MOBILE;50.0.2661.86;ANDROID5;MOBILE;ANDROID;GOOGLE;Android 5.x; 1/1
100;% of failure; CHROME;66.0.3359.181;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 1/1
50;% of failure; CHROME_MOBILE;74.0.3729.186;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 1/2
14;% of failure; CHROME8;81.0.4044.113;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 1/7
100;% of failure; CHROME_MOBILE;50.0.2661.86;ANDROID6;MOBILE;ANDROID;GOOGLE;Android 6.x; 2/2
16;% of failure; CHROME_MOBILE;80.0.3987.149;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 1/6
14;% of failure; CHROME_MOBILE;75.0.3770.143;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 1/7
1;% of failure; CHROME_MOBILE;81.0.4044.111;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 2/134
100;% of failure; CHROME_MOBILE;79.0.3945.116;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 1/1
11;% of failure; CHROME8;81.0.4044.122;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 5/42
2;% of failure; CHROME_MOBILE;81.0.4044.117;ANDROID1;MOBILE;ANDROID;GOOGLE;Android 1.x; 5/194
10;% of failure; CHROME8;80.0.3987.163;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 1/10
100;% of failure; FIREFOX_MOBILE;68.0;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 1/1
100;% of failure; MOBILE_SAFARI;13.0.4;MAC_OS_X_IPHONE;MOBILE;IOS;APPLE;Mac OS X (iPhone); 4/4
85;% of failure; MOBILE_SAFARI;13.0.5;MAC_OS_X_IPHONE;MOBILE;IOS;APPLE;Mac OS X (iPhone); 18/21
20;% of failure; CHROME_MOBILE;80.0.3987.95;MAC_OS_X_IPAD;TABLET;IOS;APPLE;Mac OS X (iPad); 1/5
14;% of failure; CHROME_MOBILE;77.0.3865.92;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 1/7
100;% of failure; CHROME47;47.0.2526.80;ANDROID4_TABLET;TABLET;ANDROID;GOOGLE;Android 4.x Tablet; 1/1
25;% of failure; CHROME_MOBILE;75.0.3770.101;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 1/4
20;% of failure; CHROME_MOBILE;79.0.3945.116;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 1/5
100;% of failure; CHROME43;43.0.2357.93;ANDROID5_TABLET;TABLET;ANDROID;GOOGLE;Android 5.x Tablet; 1/1
5;% of failure; CHROME_MOBILE;80.0.3987.162;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 2/40
0;% of failure; CHROME_MOBILE;81.0.4044.117;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 2/249
10;% of failure; CHROME_MOBILE;75.0.3770.143;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 1/10
0;% of failure; CHROME_MOBILE;81.0.4044.111;ANDROID_MOBILE;MOBILE;ANDROID;GOOGLE;Android Mobile; 1/194
